model,mse_c_overall,mse_c_first10%,mse_c_last10%,rmse_c_last10%,convergence_step
REKF,0.0016533918864977198,0.005430693000188459,0.0002760907728069795,0.01661597944169947,575
Proposed,0.002337305469825683,0.016111472455991857,0.0013103884365748073,0.03619928779098847,31
Original,0.18103187532234516,0.22034599774772937,0.14406242838122044,0.379555566921657,1
