model,mse_c_overall,mse_c_first10%,mse_c_last10%,rmse_c_last10%,convergence_step
REKF,0.000130263895312961,0.000130263895312961,0.000130263895312961,0.01141332095899178,1
Proposed,0.001303515583039178,0.0038400022768904406,0.0010432246707398648,0.03229898869531157,23
Original,0.14772763518635468,0.14767009986885002,0.14781055815295965,0.3844613870767254,1
